step,g_front_min,g_rear_min,g_required,g_lead,g_follow,g_available,feasible
500,12,109.9,27.5,142.4,101.9,230.9,657.2,False
500,13,9.0,248.7,262.7,143.9,23.5,822.6,False
500,14,137.5,4.5,147.0,7.4,80.6,902.0,False
600,0,53.4,60.5,118.9,19.1,37.2,933.7,False
600,1,117.8,34.5,157.3,530.8,86.6,372.6,True
600,2,56.4,34.5,95.9,59.5,22.1,908.4,False
600,3,34.5,212.4,251.9,22.1,142.1,825.8,False
600,4,63.8,61.4,130.3,120.0,44.1,825.8,False
600,5,45.4,81.4,131.8,41.3,14.4,934.3,False
600,6,61.4,53.4,119.9,44.1,19.1,926.7,False
600,7,40.3,31.2,76.5,33.9,93.2,862.8,False
600,8,31.2,207.2,243.4,38.7,487.1,464.2,True
600,9,35.2,26.4,66.6,88.4,85.8,815.8,True
600,10,26.4,266.2,297.5,42.0,440.0,507.9,True
600,11,59.1,45.4,109.5,37.2,41.3,911.5,False
600,12,21.6,333.3,359.9,38.3,396.7,555.0,True
600,13,70.3,40.3,115.6,14.4,33.9,941.6,False
600,14,17.0,408.7,430.6,34.8,356.9,598.3,False
600,0,36.8,110.3,152.2,81.3,45.8,862.9,False
600,1,178.4,6.7,190.1,87.8,996.3,905.9,False
600,2,355.9,26.0,386.9,33.1,86.3,870.6,False
600,3,161.3,36.8,203.1,38.3,81.3,870.4,False
600,4,10.3,520.5,535.9,32.7,194.1,763.2,False
600,5,85.0,90.4,180.4,45.8,29.9,914.3,False
600,6,4.5,76.6,86.1,50.4,98.5,841.2,True
600,7,78.9,10.3,94.2,29.9,103.6,856.6,False
600,8,4.6,639.9,649.5,159.0,67.8,763.2,False
600,9,51.4,278.2,334.6,226.6,87.8,675.6,False
600,10,6.7,550.9,562.6,996.3,127.8,865.8,False
600,11,4.5,596.2,605.7,91.0,33.1,865.8,False
600,12,381.0,53.7,439.7,67.8,246.6,675.6,False
600,13,26.0,245.4,276.4,86.3,38.3,865.4,False
600,14,78.9,10.3,94.2,100.7,32.7,856.6,True
700,0,52.8,93.1,150.9,44.9,15.3,929.7,False
700,1,113.3,64.5,182.8,217.9,61.6,710.4,False
700,2,64.5,61.2,130.7,61.6,87.0,841.4,False
700,3,61.2,66.7,133.0,87.0,72.5,830.5,True
700,4,56.1,79.4,140.4,60.6,6.9,922.5,False
700,5,64.5,64.5,134.0,65.2,995.2,929.6,True
700,6,72.8,52.8,130.5,6.9,44.9,938.2,False
700,7,64.5,62.2,131.7,70.1,70.1,849.8,True
700,8,58.2,44.0,107.2,55.5,184.6,749.9,False
